resultId,role,absolutePath,bytes,sha256,exists
BCH_FORMAL,FORMAL_PRIMARY,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage10_bch_formal\results\formal_results.csv,1651356,adbd8d2499b220525195fb115c989469ed00e0965d5f69ed6d28637f48ad4c9d,true
CC_FORMAL,FORMAL_PRIMARY,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage11_cc_formal\results\formal_results.csv,1672815,86f7ff8e46712406714887050d06de8ccd55e0c47ed7e6facd92c09556db886d,true
ALL_START_BCH,FORMAL_SPECIALTY,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage12_all_start_scan\results\bch\all_start_results.csv,3411699,b41155f37ddb9afd54ff930296d228ff4c0dc2f9a5676d83311117f7f1fad399,true
ALL_START_BCH_2_PERCENT,FORMAL_SPECIALTY_SUPPLEMENT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage12_all_start_scan\results\bch_2_percent\all_start_results.csv,1754089,0d48121df0e58c250473910ecec9f6fec3bfcd41ce789ec34ea984a0d88af913,true
ALL_START_CC,FORMAL_SPECIALTY,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage12_all_start_scan\results\cc\all_start_results.csv,7818549,969ae5984a9d35fe64900d27a33556cc23787b5c8266229f45eef55d3be80170,true
LATENCY,DERIVED_VALIDATED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage13_latency_complexity\results\latency_complexity_summary.csv,3562,e3b933859bb88267c6781ca4c9c95466afb4cdb5e6e01a9e6b5b80cc8a58abd9,true
RECOMMENDATION,DERIVED_VALIDATED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage14_fer_improvement\results\recommendation_ranking.csv,1518,72fffca0f5bbe8a94159dce0c76dabdb1a8eaaf047ec3ff98b45b525520dffb4,true
PLOTS,DERIVED_VALIDATED,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\results\plot_inventory.csv,18642,8bc0c8dd4683daede4ea2a80859b697527a346726dc3f33b594ee01afcae8558,true
NO_BURST_BCH,HISTORICAL_FORMAL_NORMALIZED_NO_INTERPOLATION,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\no_burst_baseline\bch\no_burst_baseline.csv,10557,82baf7228f94e4308bbc7f88794d288d71db85146c2058dfd86fb1f09513bb5c,true
NO_BURST_CC,HISTORICAL_FORMAL_EXACT_GRID,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\no_burst_baseline\cc\no_burst_baseline.csv,10235,2835f48dc3cb95a9fbc33d477421044948aba5a03b1372d4a315f08f1b24d6a1,true
NO_BURST_AUDIT,AUDIT_EVIDENCE,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\stage15_scientific_plots\no_burst_baseline\baseline_source_audit.csv,4946,f581f1a37078147ca32d3497da98fffc1aed7235df5735b4b639c9a8e25340fb,true
NO_BURST_REVISION_REPORT,AUDIT_REPORT,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\S7_no_burst_baseline_plot_revision_report.md,5999,3d3072da4762cbae0b94a3d6c0d2ac237020e9598599e5deccb364b8c6cb62e5,true
LDPC_REFERENCE,INDEPENDENT_INCOMPATIBLE_REFERENCE,C:\Users\V3169\Desktop\Project\SCL_Channel_Coding_Design\Task\Comparison\S7\results\ldpc_baseline\ldpc_baseline_reference.csv,57228,ddf325e8768c9b6a9cd4787c883667054de28440fd6197a7d3c1e8cf194cea1b,true
