caseId,legendLabel,payloadLength,encodedLength,actualRate,ebn0Db,targetSnrDb,snrDb,metricName,metricValue,totalFrames,errorCount,isZeroObserved,plotSurrogateUsed,plotValue
K200_S15,分块,200,285,0.70175438596491224,1.5381486434452905,0,0,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,2.0381486434452905,0.5,0.5,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,2.5381486434452905,1,1,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,3.0381486434452905,1.5,1.5,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,3.5381486434452905,2,2,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,4.0381486434452905,2.5,2.5,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,4.5381486434452905,3,3,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,5.0381486434452905,3.5,3.5,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,5.5381486434452905,4,4,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,6.0381486434452905,4.5,4.5,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,6.5381486434452905,5,5,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,7.0381486434452905,5.5,5.5,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,7.5381486434452905,6,6,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,8.0381486434452896,6.4999999999999991,6.4999999999999991,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,8.5381486434452896,6.9999999999999991,6.9999999999999991,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,9.0381486434452896,7.4999999999999991,7.4999999999999991,fer,1,1000,1000,0,0,1
K200_S15,分块,200,285,0.70175438596491224,9.5381486434452896,7.9999999999999991,7.9999999999999991,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,0.93421685162235091,0,0,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,1.434216851622351,0.50000000000000011,0.50000000000000011,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,1.934216851622351,1,1,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,2.434216851622351,1.5,1.5,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,2.934216851622351,2,2,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,3.434216851622351,2.5,2.5,fer,1,1000,1000,0,0,1
K200_M255K207,255整块,200,248,0.80645161290322576,3.934216851622351,3,3,fer,0.999,1000,999,0,0,0.999
K200_M255K207,255整块,200,248,0.80645161290322576,4.4342168516223506,3.4999999999999996,3.4999999999999996,fer,0.99399999999999999,1000,994,0,0,0.99399999999999999
K200_M255K207,255整块,200,248,0.80645161290322576,4.9342168516223506,3.9999999999999996,3.9999999999999996,fer,0.99399999999999999,1000,994,0,0,0.99399999999999999
K200_M255K207,255整块,200,248,0.80645161290322576,5.4342168516223506,4.5,4.5,fer,0.98199999999999998,1000,982,0,0,0.98199999999999998
K200_M255K207,255整块,200,248,0.80645161290322576,5.9342168516223506,5,5,fer,0.95699999999999996,1000,957,0,0,0.95699999999999996
K200_M255K207,255整块,200,248,0.80645161290322576,6.4342168516223506,5.5,5.5,fer,0.94899999999999995,1000,949,0,0,0.94899999999999995
K200_M255K207,255整块,200,248,0.80645161290322576,6.9342168516223506,6,6,fer,0.92400000000000004,1000,924,0,0,0.92400000000000004
K200_M255K207,255整块,200,248,0.80645161290322576,7.4342168516223506,6.5,6.5,fer,0.90100000000000002,1000,901,0,0,0.90100000000000002
K200_M255K207,255整块,200,248,0.80645161290322576,7.9342168516223506,7,7,fer,0.89100000000000001,1000,891,0,0,0.89100000000000001
K200_M255K207,255整块,200,248,0.80645161290322576,8.4342168516223506,7.5,7.5,fer,0.89700000000000002,1000,897,0,0,0.89700000000000002
K200_M255K207,255整块,200,248,0.80645161290322576,8.9342168516223506,8,8,fer,0.89400000000000002,1000,894,0,0,0.89400000000000002
K200_M511K421,421整块,200,290,0.68965517241379315,1.6136800223497485,0,0,fer,1,1000,1000,0,0,1
K200_M511K421,421整块,200,290,0.68965517241379315,2.1136800223497483,0.49999999999999978,0.49999999999999978,fer,1,1000,1000,0,0,1
K200_M511K421,421整块,200,290,0.68965517241379315,2.6136800223497483,0.99999999999999978,0.99999999999999978,fer,1,1000,1000,0,0,1
K200_M511K421,421整块,200,290,0.68965517241379315,3.1136800223497483,1.4999999999999998,1.4999999999999998,fer,1,1000,1000,0,0,1
K200_M511K421,421整块,200,290,0.68965517241379315,3.6136800223497483,1.9999999999999998,1.9999999999999998,fer,1,1000,1000,0,0,1
K200_M511K421,421整块,200,290,0.68965517241379315,4.1136800223497483,2.5,2.5,fer,0.998,1000,998,0,0,0.998
K200_M511K421,421整块,200,290,0.68965517241379315,4.6136800223497483,3,3,fer,0.99399999999999999,1000,994,0,0,0.99399999999999999
K200_M511K421,421整块,200,290,0.68965517241379315,5.1136800223497483,3.5,3.5,fer,0.98999999999999999,1000,990,0,0,0.98999999999999999
K200_M511K421,421整块,200,290,0.68965517241379315,5.6136800223497483,4,4,fer,0.96999999999999997,1000,970,0,0,0.96999999999999997
K200_M511K421,421整块,200,290,0.68965517241379315,6.1136800223497483,4.5,4.5,fer,0.93400000000000005,1000,934,0,0,0.93400000000000005
K200_M511K421,421整块,200,290,0.68965517241379315,6.6136800223497483,5,5,fer,0.92100000000000004,1000,921,0,0,0.92100000000000004
K200_M511K421,421整块,200,290,0.68965517241379315,7.1136800223497483,5.5,5.5,fer,0.84899999999999998,1000,849,0,0,0.84899999999999998
