stageId,gitCommit,experimentType,caseId,legendLabel,payloadLength,encodedLength,actualRate,channelType,ebn0Db,snrDb,blockageAmplitude,requestedBlockageRatio,actualBlockageRatio,blockageLengthSymbols,blockageStartPolicy,meanBlockageStart,minBlockageStart,maxBlockageStart,totalBlockedSymbols,blockedRawErrorBits,nonBlockedRawErrorBits,blockedRawBer,nonBlockedRawBer,affectedCodeBlockCountTotal,meanAffectedCodeBlockCount,maxAffectedCodeBlockCount,totalFrames,totalPayloadBits,payloadErrorBits,payloadErrorFrames,decoderFailureFrames,miscorrectionFrames,undetectedErrorFrames,trueSuccessFrames,decodeTimeTotalNs,decodeTimeMeanNs,decodeTimeP50Ns,decodeTimeP95Ns,decodeTimeP99Ns,ber,fer,decoderFailureRate,miscorrectionRate,undetectedErrorRate,trueSuccessRate,stopReason,checkpointId,shardId,blockageParameterIndex
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0,0,0,RANDOM_PER_FRAME,142.51260869565218,0,285,0,0,12932,0,0.0024660564454614797,0,0,0,18400,3680000,429,200,0,200,0,18200,111965500,6085,5500,8700,11400,0.00011657608695652174,0.010869565217391304,0,0.010869565217391304,0,0.98913043478260865,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_S15_0,0,0
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0.02,0.021052631578947368,6,RANDOM_PER_FRAME,142.0864,0,279,30000,14945,3476,0.49816666666666665,0.0024917562724014338,6585,1.3169999999999999,2,5000,1000000,12120,4124,0,4124,75,876,30236500,6047,5600,8600,10700,0.012120000000000001,0.82479999999999998,0,0.82479999999999998,0.014999999999999999,0.17519999999999999,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_S15_1,0,1
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0.050000000000000003,0.04912280701754386,14,RANDOM_PER_FRAME,133.72460000000001,0,271,70000,34830,3360,0.49757142857142855,0.0024797047970479703,9323,1.8646,2,5000,1000000,26642,4961,0,4961,41,39,31296300,6259,5700,9300,11600,0.026641999999999999,0.99219999999999997,0,0.99219999999999997,0.0082000000000000007,0.0077999999999999996,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_S15_2,0,2
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0.080000000000000002,0.080701754385964913,23,RANDOM_PER_FRAME,132.11179999999999,0,262,115000,57445,3271,0.49952173913043479,0.0024969465648854963,12290,2.4580000000000002,3,5000,1000000,43294,4999,0,4999,8,1,31339800,6267,5700,9100,11700,0.043293999999999999,0.99980000000000002,0,0.99980000000000002,0.0016000000000000001,0.00020000000000000001,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_S15_3,0,3
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0.10000000000000001,0.10175438596491228,29,RANDOM_PER_FRAME,127.46599999999999,0,256,145000,72281,3203,0.49848965517241378,0.0025023437499999998,14299,2.8597999999999999,3,5000,1000000,54288,5000,0,5000,3,0,32188700,6437,5800,9900,11700,0.054288000000000003,1,0,1,0.00059999999999999995,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_S15_4,0,4
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0.12,0.11929824561403508,34,RANDOM_PER_FRAME,124.2856,0,251,170000,84846,3131,0.4990941176470588,0.002494820717131474,15919,3.1838000000000002,4,5000,1000000,63257,5000,0,5000,3,0,32172100,6434,5800,9400,12000,0.063256999999999994,1,0,1,0.00059999999999999995,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_S15_5,0,5
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0.14999999999999999,0.15087719298245614,43,RANDOM_PER_FRAME,121.80800000000001,0,242,215000,106881,3030,0.49712093023255816,0.0025041322314049586,18979,3.7957999999999998,4,5000,1000000,79790,5000,0,5000,0,0,31527500,6305,5900,8700,11300,0.07979,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_S15_6,0,6
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0.20000000000000001,0.20000000000000001,57,RANDOM_PER_FRAME,113.0814,0,228,285000,142579,2820,0.5002771929824561,0.0024736842105263159,23624,4.7248000000000001,5,5000,1000000,105645,5000,0,5000,0,0,41292800,8258,6400,11700,25900,0.105645,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_S15_7,0,7
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,SNR,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,4.5,2.9618513565547095,0,0.10000000000000001,0.10175438596491228,29,RANDOM_PER_FRAME,129.566,0,256,145000,72540,30143,0.50027586206896557,0.02354921875,14288,2.8576000000000001,3,5000,1000000,63736,5000,0,5000,0,0,65915200,13183,9000,18700,86200,0.063736000000000001,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,stage12_SNR_K200_S15_0,0,0
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,SNR,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,5.5,3.9618513565547095,0,0.10000000000000001,0.10175438596491228,29,RANDOM_PER_FRAME,128.714,0,256,145000,72573,16392,0.50050344827586202,0.01280625,14298,2.8595999999999999,3,5000,1000000,57366,5000,0,5000,0,0,33929000,6785,6100,10100,11700,0.057366,1,0,1,0,0,TARGET_FRAME_ERRORS_REACHED,stage12_SNR_K200_S15_1,0,1
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,SNR,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,6.5,4.9618513565547095,0,0.10000000000000001,0.10175438596491228,29,RANDOM_PER_FRAME,127.15519999999999,0,256,145000,72396,7855,0.49928275862068966,0.0061367187499999998,14308,2.8616000000000001,3,5000,1000000,54881,5000,0,5000,2,0,31154800,6230,5900,8500,10400,0.054880999999999999,1,0,1,0.00040000000000000002,0,TARGET_FRAME_ERRORS_REACHED,stage12_SNR_K200_S15_2,0,2
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,SNR,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,7.5,5.9618513565547095,0,0.10000000000000001,0.10175438596491228,29,RANDOM_PER_FRAME,130.78960000000001,0,256,145000,72457,3096,0.49970344827586205,0.0024187499999999999,14333,2.8666,3,5000,1000000,54239,5000,0,5000,2,0,31111500,6222,5800,8600,11200,0.054239000000000002,1,0,1,0.00040000000000000002,0,TARGET_FRAME_ERRORS_REACHED,stage12_SNR_K200_S15_3,0,3
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,SNR,K200_S15,分块200,200,285,0.70175438596491224,BLOCKAGE_AWGN,8.5,6.9618513565547095,0,0.10000000000000001,0.10175438596491228,29,RANDOM_PER_FRAME,129.36500000000001,0,256,145000,72235,1008,0.49817241379310345,0.00078750000000000001,14365,2.8730000000000002,3,5000,1000000,53806,5000,0,5000,5,0,31766300,6353,5800,9100,12300,0.053806,1,0,1,0.001,0,TARGET_FRAME_ERRORS_REACHED,stage12_SNR_K200_S15_4,0,4
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M255K207,255整块200,200,248,0.80645161290322576,BLOCKAGE_AWGN,7.5,6.5657831483776494,0,0,0,0,RANDOM_PER_FRAME,123.83678,0,248,0,0,16049,0,0.0012942741935483872,0,0,0,50000,10000000,0,0,0,0,0,50000,534659700,10693,9900,13900,18400,0,0,0,0,0,1,MAX_FRAMES_REACHED,stage12_RATIO_K200_M255K207_0,0,0
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M255K207,255整块200,200,248,0.80645161290322576,BLOCKAGE_AWGN,7.5,6.5657831483776494,0,0.02,0.020161290322580645,5,RANDOM_PER_FRAME,122.23090000000001,0,243,250000,125211,15708,0.50084399999999996,0.0012928395061728396,50000,1,1,50000,10000000,544,97,97,0,0,49903,684078400,13681,13000,17700,24000,5.4400000000000001e-05,0.0019400000000000001,0.0019400000000000001,0,0,0.99805999999999995,MAX_FRAMES_REACHED,stage12_RATIO_K200_M255K207_1,0,1
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M255K207,255整块200,200,248,0.80645161290322576,BLOCKAGE_AWGN,7.5,6.5657831483776494,0,0.050000000000000003,0.048387096774193547,12,RANDOM_PER_FRAME,117.6446,0,236,60000,30003,1504,0.50004999999999999,0.0012745762711864406,5000,1,1,5000,1000000,14712,2003,2245,6,0,2997,81983100,16396,16000,19600,25100,0.014711999999999999,0.40060000000000001,0.44900000000000001,0.0011999999999999999,0,0.59940000000000004,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M255K207_2,0,2
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M255K207,255整块200,200,248,0.80645161290322576,BLOCKAGE_AWGN,7.5,6.5657831483776494,0,0.080000000000000002,0.080645161290322578,20,RANDOM_PER_FRAME,113.249,0,228,100000,49844,1463,0.49843999999999999,0.0012833333333333334,5000,1,1,5000,1000000,41808,4311,4755,5,0,689,82178100,16435,16000,18600,24500,0.041807999999999998,0.86219999999999997,0.95099999999999996,0.001,0,0.13780000000000001,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M255K207_3,0,3
stage12_blockage_formal,10d85af8b99aeb44c118a312104348190c1bc997,RATIO,K200_M255K207,255整块200,200,248,0.80645161290322576,BLOCKAGE_AWGN,7.5,6.5657831483776494,0,0.10000000000000001,0.10080645161290322,25,RANDOM_PER_FRAME,113.78,0,223,125000,62451,1430,0.499608,0.0012825112107623319,5000,1,1,5000,1000000,52987,4559,4959,10,0,441,85373400,17074,16100,21600,29200,0.052986999999999999,0.91180000000000005,0.99180000000000001,0.002,0,0.088200000000000001,TARGET_FRAME_ERRORS_REACHED,stage12_RATIO_K200_M255K207_4,0,4
