experimentType,caseId,parameterIndex,totalFrames,integerAccountingPass,passed
RATIO,K200_S15,0,18400,1,1
RATIO,K200_S15,1,5000,1,1
RATIO,K200_S15,2,5000,1,1
RATIO,K200_S15,3,5000,1,1
RATIO,K200_S15,4,5000,1,1
RATIO,K200_S15,5,5000,1,1
RATIO,K200_S15,6,5000,1,1
RATIO,K200_S15,7,5000,1,1
RATIO,K200_M255K207,0,50000,1,1
RATIO,K200_M255K207,1,50000,1,1
RATIO,K200_M255K207,2,5000,1,1
RATIO,K200_M255K207,3,5000,1,1
RATIO,K200_M255K207,4,5000,1,1
RATIO,K200_M255K207,5,5000,1,1
RATIO,K200_M255K207,6,5000,1,1
RATIO,K200_M255K207,7,5000,1,1
RATIO,K200_M511K421,0,50000,1,1
RATIO,K200_M511K421,1,50000,1,1
RATIO,K200_M511K421,2,5000,1,1
RATIO,K200_M511K421,3,5000,1,1
RATIO,K200_M511K421,4,5000,1,1
RATIO,K200_M511K421,5,5000,1,1
RATIO,K200_M511K421,6,5000,1,1
RATIO,K200_M511K421,7,5000,1,1
RATIO,K200_M511K385,0,50000,1,1
RATIO,K200_M511K385,1,50000,1,1
RATIO,K200_M511K385,2,15900,1,1
RATIO,K200_M511K385,3,5000,1,1
RATIO,K200_M511K385,4,5000,1,1
RATIO,K200_M511K385,5,5000,1,1
RATIO,K200_M511K385,6,5000,1,1
RATIO,K200_M511K385,7,5000,1,1
RATIO,K300_S15,0,41300,1,1
RATIO,K300_S15,1,5000,1,1
RATIO,K300_S15,2,5000,1,1
RATIO,K300_S15,3,5000,1,1
RATIO,K300_S15,4,5000,1,1
RATIO,K300_S15,5,5000,1,1
RATIO,K300_S15,6,5000,1,1
RATIO,K300_S15,7,5000,1,1
RATIO,K300_M255K207,0,50000,1,1
RATIO,K300_M255K207,1,5000,1,1
RATIO,K300_M255K207,2,5000,1,1
RATIO,K300_M255K207,3,5000,1,1
RATIO,K300_M255K207,4,5000,1,1
RATIO,K300_M255K207,5,5000,1,1
RATIO,K300_M255K207,6,5000,1,1
RATIO,K300_M255K207,7,5000,1,1
RATIO,K300_M511K421,0,50000,1,1
RATIO,K300_M511K421,1,50000,1,1
RATIO,K300_M511K421,2,5000,1,1
RATIO,K300_M511K421,3,5000,1,1
RATIO,K300_M511K421,4,5000,1,1
RATIO,K300_M511K421,5,5000,1,1
RATIO,K300_M511K421,6,5000,1,1
RATIO,K300_M511K421,7,5000,1,1
RATIO,K300_M511K385,0,50000,1,1
RATIO,K300_M511K385,1,50000,1,1
RATIO,K300_M511K385,2,5000,1,1
RATIO,K300_M511K385,3,5000,1,1
RATIO,K300_M511K385,4,5000,1,1
RATIO,K300_M511K385,5,5000,1,1
RATIO,K300_M511K385,6,5000,1,1
RATIO,K300_M511K385,7,5000,1,1
SNR,K200_S15,0,1000,1,1
