schemeId,rate,decisionMode,quantMode,quantBits,clipMax,tracebackMode,dtb,window,slide,organization,snrDb,frames,BER,FER,berCiLow,berCiHigh,ferCiLow,ferCiHigh,normalizedGoodput,firstOutputDelaySymbols,avgDecisionDelaySymbols,p95DecisionDelaySymbols,fullFrameLastDecisionSymbol,avgDecodeTimeUs,p95DecodeTimeUs,inputMemoryBytes,survivorMemoryBytes,pathMetricMemoryBytes,totalMemoryBytes,ACSCount,tracebackOperations,sourceStage,sourceCsv,sourceRowId,sourceHash
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-5.0,1000,0.4638566666666666,1.0,0.4620726274088689,0.4656416315334563,0.996173241514445,1.0,0.0,N/A,N/A,N/A,N/A,276.6021000000002,429.6,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-000,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-4.5,1000,0.4467533333333333,1.0,0.4449750066585786,0.4485330236231427,0.996173241514445,1.0,0.0,N/A,N/A,N/A,N/A,291.2747999999998,514.6,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-002,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-4.0,1000,0.4240233333333333,1.0,0.4222558998167953,0.4257927125665321,0.996173241514445,1.0,0.0,N/A,N/A,N/A,N/A,285.5706999999998,447.9,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-004,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-3.5,1000,0.39466,1.0,0.3929123236976336,0.3964103739963039,0.996173241514445,1.0,0.0,N/A,N/A,N/A,N/A,288.2141,486.5,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-006,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-3.0,1000,0.35474,1.0,0.3530298456936188,0.3564538743274688,0.996173241514445,1.0,0.0,N/A,N/A,N/A,N/A,285.8265999999998,459.2,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-008,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-2.5,1000,0.3025133333333333,1.0,0.3008721512759601,0.3041595729052634,0.996173241514445,1.0,0.0,N/A,N/A,N/A,N/A,282.0327000000004,455.5,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-010,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-2.0,1000,0.2389966666666666,0.998,0.2374739370803714,0.2405260803910861,0.992737192136508,0.9994513564118792,0.0009803921568627,N/A,N/A,N/A,N/A,294.9086000000001,498.8,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-012,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-1.5,1000,0.1702166666666666,0.988,0.1688760506795049,0.1715657282063159,0.9791427315245016,0.9931223521935963,0.0058823529411764,N/A,N/A,N/A,N/A,289.5902999999999,455.9,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-014,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-1.0,1000,0.1100033333333333,0.954,0.1088886672462852,0.1111279870000599,0.9391877960583808,0.9653375072367352,0.0225490196078431,N/A,N/A,N/A,N/A,309.7049000000003,549.7,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-016,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
R12_H_BLOCK_FULL,R12,Hard,Hard,1,N/A,Full traceback,306,306,300,Block300,-0.5,1000,0.0637533333333333,0.8449999999999999,0.0628846602860042,0.0646331783949773,0.821253161260159,0.866106375384808,0.0759803921568627,N/A,N/A,N/A,N/A,297.1154000000001,505.0,N/A,N/A,N/A,N/A,N/A,N/A,Stage09,stage09_awgn_formal/results/stage09_two_level_merged_point_results.csv,coarse-018,0efd6914aca0415c0e7f7a888f8eb749d699f9f7e4f08625678746dc161fae25
