caseName,sourcePayloadEbN0Db,frameRate,snrDb,miscorrectionRate
BCH-S300,8,0.7142857142857143,6.53871964321762,0.65000000000000002
BCH-S300,8.1999999999999993,0.7142857142857143,6.7387196432176193,0.60419999999999996
BCH-S300,8.4000000000000004,0.7142857142857143,6.9387196432176204,0.55179999999999996
BCH-S300,8.5999999999999996,0.7142857142857143,7.1387196432176196,0.51200000000000001
BCH-S300,8.8000000000000007,0.7142857142857143,7.3387196432176207,0.4652
BCH-S300,9,0.7142857142857143,7.53871964321762,0.43319999999999997
BCH-S300,9.1999999999999993,0.7142857142857143,7.7387196432176193,0.38979999999999998
BCH-S300,9.4000000000000004,0.7142857142857143,7.9387196432176204,0.34799999999999998
BCH-S300,9.5999999999999996,0.7142857142857143,8.1387196432176196,0.31780000000000003
BCH-S300,9.8000000000000007,0.7142857142857143,8.3387196432176207,0.29160000000000003
BCH-S300,10,0.7142857142857143,8.53871964321762,0.2492
BCH-S300,10.199999999999999,0.7142857142857143,8.7387196432176193,0.218
BCH-S300,10.4,0.7142857142857143,8.9387196432176204,0.18579999999999999
BCH-S300,10.6,0.7142857142857143,9.1387196432176196,0.1706
BCH-S300,10.800000000000001,0.7142857142857143,9.3387196432176207,0.14779999999999999
BCH-S300,11,0.7142857142857143,9.53871964321762,0.12820000000000001
BCH-S300,11.199999999999999,0.7142857142857143,9.7387196432176193,0.11119999999999999
BCH-S300,11.4,0.7142857142857143,9.9387196432176204,0.097799999999999998
BCH-S300,11.6,0.7142857142857143,10.13871964321762,0.078200000000000006
BCH-S300,11.800000000000001,0.7142857142857143,10.338719643217621,0.066600000000000006
BCH-S300,12,0.7142857142857143,10.53871964321762,0.061199999999999997
BCH-S300,12.199999999999999,0.7142857142857143,10.738719643217619,0.048399999999999999
BCH-S300,12.4,0.7142857142857143,10.93871964321762,0.041399999999999999
BCH-S300,12.6,0.7142857142857143,11.13871964321762,0.035874439461883408
BCH-S300,12.800000000000001,0.7142857142857143,11.338719643217621,0.031113876789047916
BCH-S300,13,0.7142857142857143,11.53871964321762,0.025588536335721598
BCH-S300,13.199999999999999,0.7142857142857143,11.738719643217619,0.019657951641438961
BCH-S300,13.4,0.7142857142857143,11.93871964321762,0.015934985260138635
BCH-S300,13.6,0.7142857142857143,12.13871964321762,0.013689253935660506
BCH-S300,13.800000000000001,0.7142857142857143,12.338719643217621,0.011837821840781295
BCH-S300,14,0.7142857142857143,12.53871964321762,0.008775393795796586
BCH-S300,14.199999999999999,0.7142857142857143,12.738719643217619,0.007415097137772505
BCH-S300,14.4,0.7142857142857143,12.93871964321762,0.0058496636443404505
BCH-S300,14.6,0.7142857142857143,13.13871964321762,0.0047709923664122139
BCH-S300,14.800000000000001,0.7142857142857143,13.338719643217621,0.0042024752579269192
BCH-S300,15,0.7142857142857143,13.53871964321762,0.0033999999999999998
BCH-S300,15.199999999999999,0.7142857142857143,13.738719643217619,0.0027399999999999998
BCH-S300,15.4,0.7142857142857143,13.93871964321762,0.00192
BCH-S300,15.6,0.7142857142857143,14.13871964321762,0.0016000000000000001
BCH-S300,15.800000000000001,0.7142857142857143,14.338719643217621,0.0011800000000000001
BCH-S300,16,0.7142857142857143,14.53871964321762,0.00106
BCH-S300,16.199999999999999,0.7142857142857143,14.738719643217619,0.00085999999999999998
BCH-S300,16.399999999999999,0.7142857142857143,14.938719643217619,0.00042000000000000002
